Satellite,begin_day_time,end_day_time,median_day_time
FY2D,2015-04-10 15:30:00,2015-04-10 16:30:00,2015-04-10 16:00:00
FY2D,2015-01-27 14:30:00,2015-01-27 15:30:00,2015-01-27 15:00:00
FY2D,2014-10-24 15:30:00,2014-10-24 16:30:00,2014-10-24 16:00:00
FY2D,2014-08-04 15:30:00,2014-08-04 16:30:00,2014-08-04 16:00:00
FY2D,2014-05-09 15:30:00,2014-05-09 16:30:00,2014-05-09 16:00:00
FY2D,2014-02-20 15:30:00,2014-02-20 16:30:00,2014-02-20 16:00:00
FY2D,2013-11-22 15:30:00,2013-11-22 16:30:00,2013-11-22 16:00:00
FY2D,2013-09-16 15:30:00,2013-09-16 16:30:00,2013-09-16 16:00:00
FY2D,2013-06-25 15:30:00,2013-06-25 16:30:00,2013-06-25 16:00:00
FY2D,2013-04-09 15:30:00,2013-04-09 16:30:00,2013-04-09 16:00:00
FY2D,2013-02-05 15:30:00,2013-02-05 16:30:00,2013-02-05 16:00:00
FY2D,2012-12-25 11:00:00,2012-12-26 15:00:00,2012-12-26 01:00:00
FY2D,2012-11-01 09:30:00,2012-11-01 10:30:00,2012-11-01 10:00:00
FY2D,2012-08-10 15:00:00,2012-08-10 16:00:00,2012-08-10 15:30:00
FY2D,2012-05-16 10:00:00,2012-05-16 11:00:00,2012-05-16 10:30:00
FY2D,2012-03-12 15:30:00,2012-03-12 16:30:00,2012-03-12 16:00:00
FY2D,2011-12-29 16:30:00,2011-12-29 17:30:00,2011-12-29 17:00:00
FY2D,2011-10-17 09:00:00,2011-10-17 10:00:00,2011-10-17 09:30:00
FY2D,2011-08-04 15:30:00,2011-08-04 16:30:00,2011-08-04 16:00:00
FY2D,2011-06-02 15:30:00,2011-06-02 16:30:00,2011-06-02 16:00:00
FY2D,2011-03-28 16:00:00,2011-03-28 17:00:00,2011-03-28 16:30:00
FY2D,2011-02-01 15:00:00,2011-02-01 16:00:00,2011-02-01 15:30:00
