Satellite,begin_day_time,end_day_time,median_day_time
SEN3A,2016-02-22 09:30:00,2016-02-22 12:11:00,2016-02-22 10:50:30
SEN3A,2016-02-23 10:45:00,2016-02-23 13:24:00,2016-02-23 12:04:30
SEN3A,2016-02-24 19:29:00,2016-02-24 19:32:00,2016-02-24 19:30:30
SEN3A,2016-02-26 09:27:00,2016-02-26 12:08:00,2016-02-26 10:47:30
SEN3A,2016-03-02 12:59:00,2016-03-02 15:33:00,2016-03-02 14:16:00
SEN3A,2016-03-07 12:21:00,2016-03-07 12:22:00,2016-03-07 12:21:30
SEN3A,2016-03-21 11:16:00,2016-03-21 11:20:00,2016-03-21 11:18:00
SEN3A,2016-03-23 13:27:00,2016-03-23 13:27:00,2016-03-23 13:27:00
SEN3A,2016-04-13 09:11:00,2016-04-13 10:52:00,2016-04-13 10:01:30
SEN3A,2016-04-19 12:03:00,2016-04-19 12:10:00,2016-04-19 12:06:30
SEN3A,2016-06-02 11:14:00,2016-06-02 11:14:00,2016-06-02 11:14:00
SEN3A,2016-07-21 12:45:00,2016-07-21 12:45:00,2016-07-21 12:45:00
SEN3A,2016-08-31 07:25:00,2016-08-31 07:34:00,2016-08-31 07:29:30
SEN3A,2016-09-22 07:59:00,2016-09-22 07:59:00,2016-09-22 07:59:00
SEN3A,2016-11-01 12:05:00,2016-11-01 12:05:00,2016-11-01 12:05:00
SEN3A,2016-12-01 08:00:00,2016-12-01 08:00:00,2016-12-01 08:00:00
SEN3A,2016-12-14 08:46:00,2016-12-14 08:58:00,2016-12-14 08:52:00
SEN3A,2017-02-23 09:40:00,2017-02-23 09:40:00,2017-02-23 09:40:00
SEN3A,2017-03-15 07:42:00,2017-03-15 07:54:00,2017-03-15 07:48:00
SEN3A,2017-04-27 10:58:00,2017-04-27 10:58:00,2017-04-27 10:58:00
SEN3A,2017-05-23 14:35:00,2017-05-23 14:35:00,2017-05-23 14:35:00
SEN3A,2017-07-12 09:45:00,2017-07-12 09:45:00,2017-07-12 09:45:00
