model,window_days,thr_F1,P_F1,R_F1,F1,thr_F2,P_F2,R_F2,F2
arima,1,3.2661164650008706e-07,0.6875,0.5,0.5789473684210527,3.2661164650008706e-07,0.6875,0.5,0.5288461538461539
arima,3,2.7133134139923493e-07,1.0,0.7727272727272727,0.8717948717948718,2.2953201149998606e-07,0.9,0.8181818181818182,0.8333333333333335
arima,5,2.5192770130005177e-07,1.0,0.8181818181818182,0.9,2.5192770130005177e-07,1.0,0.8181818181818182,0.8490566037735848
baseline,1,3.28273182780177e-07,0.6875,0.5,0.5789473684210527,3.28273182780177e-07,0.6875,0.5,0.5288461538461539
baseline,3,2.3702692583151e-07,0.9473684210526315,0.8181818181818182,0.8780487804878049,2.3702692583151e-07,0.9473684210526315,0.8181818181818182,0.8411214953271029
baseline,5,2.3702692583151e-07,0.9473684210526315,0.8181818181818182,0.8780487804878049,2.3702692583151e-07,0.9473684210526315,0.8181818181818182,0.8411214953271029
lstm,1,0.4694284608149246,0.6470588235294118,0.5,0.5641025641025642,0.2512391229206514,0.5714285714285714,0.5454545454545454,0.5504587155963302
lstm,3,0.2512391229206514,1.0,0.8636363636363636,0.9268292682926829,0.2512391229206514,1.0,0.8636363636363636,0.8878504672897197
lstm,5,0.22047279229173,1.0,0.9090909090909091,0.9523809523809523,0.22047279229173,1.0,0.9090909090909091,0.9259259259259258
lstm_ae,1,0.0448902304645647,0.16176470588235295,0.5,0.24444444444444446,0.0409032637708151,0.14606741573033707,0.5909090909090909,0.3672316384180791
lstm_ae,3,0.0562316089497774,0.5,0.6818181818181818,0.576923076923077,0.044413560358862,0.3220338983050847,0.8636363636363636,0.6462585034013606
lstm_ae,5,0.0562316089497774,0.7037037037037037,0.8636363636363636,0.7755102040816326,0.0562316089497774,0.7037037037037037,0.8636363636363636,0.8260869565217391
xgb,1,0.0077482158384818,0.2,0.18181818181818182,0.1904761904761905,0.0059286103283042,0.1111111111111111,0.2727272727272727,0.21126760563380284
xgb,3,0.0077482158384818,0.3157894736842105,0.2727272727272727,0.2926829268292683,0.0059286103283042,0.17307692307692307,0.4090909090909091,0.32142857142857145
xgb,5,0.0071434305248215,0.5,0.5454545454545454,0.5217391304347826,0.0057332026475718,0.2962962962962963,0.7272727272727273,0.5633802816901409
xgb_diff,1,2.273813668159804,0.35294117647058826,0.2727272727272727,0.30769230769230765,0.3874523429382179,0.14102564102564102,0.5,0.33132530120481923
xgb_diff,3,1.253828046673263,0.5,0.5909090909090909,0.5416666666666667,0.7248654448658982,0.39473684210526316,0.6818181818181818,0.5952380952380953
xgb_diff,5,2.586136517782217,0.9090909090909091,0.45454545454545453,0.6060606060606061,0.7248654448658982,0.4722222222222222,0.7727272727272727,0.6854838709677419
