model,window_days,thr_F1,P_F1,R_F1,F1,thr_F2,P_F2,R_F2,F2
arima,1,6.08610002950094e-08,0.9245283018867925,0.8596491228070176,0.8909090909090909,6.08610002950094e-08,0.9245283018867925,0.8596491228070176,0.8718861209964414
arima,3,6.08610002950094e-08,0.9615384615384616,0.8771929824561403,0.9174311926605504,6.08610002950094e-08,0.9615384615384616,0.8771929824561403,0.8928571428571428
arima,5,5.631190620053461e-08,0.9807692307692307,0.8947368421052632,0.9357798165137614,5.631190620053461e-08,0.9807692307692307,0.8947368421052632,0.9107142857142857
baseline,1,7.42662785921389e-08,0.9423076923076923,0.8596491228070176,0.8990825688073394,7.42662785921389e-08,0.9423076923076923,0.8596491228070176,0.875
baseline,3,7.42662785921389e-08,0.9803921568627451,0.8771929824561403,0.9259259259259259,4.37686158219486e-08,0.8666666666666667,0.9122807017543859,0.9027777777777778
baseline,5,5.59431364705043e-08,0.9807692307692307,0.8947368421052632,0.9357798165137614,4.21622632709728e-08,0.8571428571428571,0.9473684210526315,0.9278350515463917
lstm,1,0.123212457052432,0.9245283018867925,0.8596491228070176,0.8909090909090909,0.123212457052432,0.9245283018867925,0.8596491228070176,0.8718861209964414
lstm,3,0.123212457052432,0.9807692307692307,0.8947368421052632,0.9357798165137614,0.123212457052432,0.9807692307692307,0.8947368421052632,0.9107142857142857
lstm,5,0.1090790927992202,0.9629629629629629,0.9122807017543859,0.9369369369369369,0.1090790927992202,0.9629629629629629,0.9122807017543859,0.921985815602837
lstm_ae,1,0.0161587386275641,0.18181818181818182,0.8070175438596491,0.29677419354838713,0.0153298763965722,0.17777777777777778,0.8421052631578947,0.48192771084337344
lstm_ae,3,0.0354553632088936,0.5957446808510638,0.49122807017543857,0.5384615384615384,0.0166413532395381,0.3333333333333333,0.9649122807017544,0.6997455470737913
lstm_ae,5,0.0244225378759438,0.6266666666666667,0.8245614035087719,0.7121212121212122,0.0166413532395381,0.48695652173913045,0.9824561403508771,0.8163265306122449
xgb,1,0.0058568808924766,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0058568808924766,0.1111111111111111,0.3333333333333333,0.2380952380952381
xgb,3,0.0078424512268899,0.273972602739726,0.3508771929824561,0.3076923076923077,0.0058568808924766,0.1870967741935484,0.5087719298245614,0.3785900783289818
xgb,5,0.0078424512268899,0.423728813559322,0.43859649122807015,0.43103448275862066,0.0065584638422762,0.32,0.5614035087719298,0.4878048780487805
xgb_diff,1,1.8097297345023409,0.8125,0.45614035087719296,0.5842696629213483,0.4582363567704677,0.4,0.7719298245614035,0.6508875739644969
xgb_diff,3,1.1117938944256025,0.5967741935483871,0.6491228070175439,0.6218487394957983,0.3010557320183182,0.40458015267175573,0.9298245614035088,0.7381615598885793
xgb_diff,5,0.6493348968823938,0.6,0.8421052631578947,0.7007299270072991,0.3010557320183182,0.4778761061946903,0.9473684210526315,0.7917888563049853
