model,window_days,thr_F1,P_F1,R_F1,F1,thr_F2,P_F2,R_F2,F2
arima,1,3.58195014607543e-07,0.5084745762711864,0.5555555555555556,0.5309734513274337,3.232294887994813e-07,0.45588235294117646,0.5740740740740741,0.5457746478873239
arima,3,3.58195014607543e-07,0.8333333333333334,0.6481481481481481,0.7291666666666669,2.464842635968578e-07,0.5542168674698795,0.8518518518518519,0.7692307692307692
arima,5,3.1077662990264265e-07,0.803921568627451,0.7592592592592593,0.780952380952381,1.6097377560087e-07,0.46846846846846846,0.9629629629629629,0.7951070336391437
baseline,1,3.5726240385503e-07,0.5084745762711864,0.5555555555555556,0.5309734513274337,3.23331065255061e-07,0.45588235294117646,0.5740740740740741,0.5457746478873239
baseline,3,3.5726240385503e-07,0.8333333333333334,0.6481481481481481,0.7291666666666669,2.45229504494682e-07,0.5476190476190477,0.8518518518518519,0.7666666666666665
baseline,5,3.10755651322658e-07,0.803921568627451,0.7592592592592593,0.780952380952381,1.62078140422683e-07,0.46846846846846846,0.9629629629629629,0.7951070336391437
lstm,1,0.0163292593333608,0.46875,0.5555555555555556,0.5084745762711864,0.0122073391780759,0.3592233009708738,0.6851851851851852,0.5799373040752351
lstm,3,0.014310212660348,0.94,0.8703703703703703,0.9038461538461539,0.0122073391780759,0.847457627118644,0.9259259259259259,0.9090909090909091
lstm,5,0.014310212660348,0.9591836734693877,0.8703703703703703,0.912621359223301,0.0122073391780759,0.8928571428571429,0.9259259259259259,0.9191176470588235
lstm_ae,1,0.0077280168243305,0.2540983606557377,0.5740740740740741,0.35227272727272724,0.0077280168243305,0.2540983606557377,0.5740740740740741,0.4585798816568047
lstm_ae,3,0.0099403178936275,0.7419354838709677,0.8518518518518519,0.7931034482758621,0.0099403178936275,0.7419354838709677,0.8518518518518519,0.8273381294964028
lstm_ae,5,0.0098573422819754,0.9019607843137255,0.8518518518518519,0.8761904761904761,0.0098573422819754,0.9019607843137255,0.8518518518518519,0.8614232209737828
xgb,1,0.0115265615260397,0.2413793103448276,0.12962962962962962,0.1686746987951807,0.0056371582056993,0.08264462809917356,0.37037037037037035,0.2183406113537118
xgb,3,0.0115265615260397,0.55,0.2037037037037037,0.2972972972972973,0.0056371582056993,0.13953488372093023,0.5555555555555556,0.34802784222737826
xgb,5,0.0074243927199676,0.31666666666666665,0.35185185185185186,0.33333333333333337,0.0056649692071408,0.17277486910994763,0.6111111111111112,0.40540540540540543
xgb_diff,1,6.059358067676001,0.5454545454545454,0.4444444444444444,0.4897959183673469,2.5262068538815967,0.35555555555555557,0.5925925925925926,0.5228758169934641
xgb_diff,3,2.926359578180893,0.6885245901639344,0.7777777777777778,0.7304347826086957,2.926359578180893,0.6885245901639344,0.7777777777777778,0.7581227436823105
xgb_diff,5,2.926359578180893,0.7678571428571429,0.7962962962962963,0.7818181818181819,1.7871091686856175,0.5783132530120482,0.8888888888888888,0.802675585284281
