model,window_days,threshold,precision,recall
arima,1,4.055700220106928e-12,0.01633281972265023,0.9814814814814815
arima,1,4.834396771791205e-12,0.016337854500616523,0.9814814814814815
arima,1,8.00209898343951e-12,0.016342892383595438,0.9814814814814815
arima,1,1.6840390193451068e-11,0.01634793337446021,0.9814814814814815
arima,1,2.6241592232523203e-11,0.01635297747608763,0.9814814814814815
arima,1,6.277420250277999e-11,0.016358024691358025,0.9814814814814815
arima,1,6.630609949986875e-11,0.016363075023155295,0.9814814814814815
arima,1,8.546030549894111e-11,0.016368128474366892,0.9814814814814815
arima,1,1.0105449810282607e-10,0.016373185047883845,0.9814814814814815
arima,1,1.1313390502198928e-10,0.016378244746600743,0.9814814814814815
arima,1,1.2716300235027234e-10,0.016383307573415766,0.9814814814814815
arima,1,1.2936249293993282e-10,0.016388373531230675,0.9814814814814815
arima,1,1.296406870743283e-10,0.01639344262295082,0.9814814814814815
arima,1,1.3202550164237437e-10,0.01639851485148515,0.9814814814814815
arima,1,1.4672010828498117e-10,0.01640359021974621,0.9814814814814815
arima,1,1.6304620154006244e-10,0.016408668730650156,0.9814814814814815
arima,1,1.6312039219368302e-10,0.016413750387116753,0.9814814814814815
arima,1,1.7257019424565812e-10,0.01641883519206939,0.9814814814814815
arima,1,1.7589908696269418e-10,0.01642392314843508,0.9814814814814815
arima,1,1.99365302044896e-10,0.01642901425914445,0.9814814814814815
arima,1,2.0656890087344948e-10,0.016434108527131782,0.9814814814814815
arima,1,2.1241519654324748e-10,0.016439205955334987,0.9814814814814815
arima,1,2.499190993043854e-10,0.016444306546695625,0.9814814814814815
arima,1,2.571888119140553e-10,0.016449410304158908,0.9814814814814815
arima,1,2.677014998564431e-10,0.016454517230673704,0.9814814814814815
arima,1,2.697185946809455e-10,0.016459627329192546,0.9814814814814815
arima,1,2.87489601569213e-10,0.016464740602671637,0.9814814814814815
arima,1,3.1959569712913805e-10,0.016469857054070853,0.9814814814814815
arima,1,3.422391953167292e-10,0.016474976686353747,0.9814814814814815
arima,1,3.4425060024823035e-10,0.016480099502487564,0.9814814814814815
arima,1,3.683363891671121e-10,0.016485225505443235,0.9814814814814815
arima,1,3.7967720634135555e-10,0.016490354698195396,0.9814814814814815
arima,1,3.9206980717576556e-10,0.01649548708372238,0.9814814814814815
arima,1,4.117406970927106e-10,0.016500622665006227,0.9814814814814815
arima,1,4.1347299195582105e-10,0.0165057614450327,0.9814814814814815
arima,1,4.177576895525448e-10,0.016510903426791276,0.9814814814814815
arima,1,4.1911669967920057e-10,0.016516048613275165,0.9814814814814815
arima,1,4.196890057706071e-10,0.016521197007481298,0.9814814814814815
arima,1,4.267860093110088e-10,0.01652634861241035,0.9814814814814815
arima,1,4.5447540175658214e-10,0.01653150343106675,0.9814814814814815
arima,1,4.558348004612967e-10,0.016536661466458658,0.9814814814814815
arima,1,4.70719199729963e-10,0.016541822721598,0.9814814814814815
arima,1,4.872170028535905e-10,0.016546987199500467,0.9814814814814815
arima,1,4.935798991745344e-10,0.01655215490318551,0.9814814814814815
arima,1,5.018657989186437e-10,0.016557325835676352,0.9814814814814815
arima,1,5.085399878979047e-10,0.0165625,0.9814814814814815
arima,1,5.105394995652546e-10,0.016567677399187245,0.9814814814814815
arima,1,5.142747061537277e-10,0.01657285803627267,0.9814814814814815
arima,1,5.235490929678122e-10,0.016578041914294652,0.9814814814814815
arima,1,5.307665973397491e-10,0.01658322903629537,0.9814814814814815
arima,1,5.337364022972578e-10,0.016588419405320815,0.9814814814814815
arima,1,5.398436975223575e-10,0.01659361302442079,0.9814814814814815
arima,1,5.492693938569103e-10,0.01659880989664892,0.9814814814814815
arima,1,5.685088094731228e-10,0.016604010025062656,0.9814814814814815
arima,1,5.802326952242254e-10,0.016609213412723284,0.9814814814814815
